지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
90,2017-01-01,6,1.5,639,9.8,1224,,,,,,,10.2,270,1132,5.8,290,1135,1.7,1507,-3.8,30,1115,50,4.7,1022.1,1027.2,1007,1020.8,2354,1024.4,9.6,8.4,,,,,,,,,,,2.2,-2.7,,,,,,,,,,,,,,
90,2017-01-02,8.2,4.7,2243,10.5,1402,,,,,,,11.8,290,850,6.7,290,855,2.5,2139,-1.6,33,2115,50.3,5.5,1016.6,1020.7,1,1016.8,1421,1018.8,9.6,7.5,,,,,,,,,,,4.4,-.5,,,,,,,,,,,,,,
90,2017-01-03,6.2,1.7,701,11.3,1344,,,,,,,8.5,270,1459,4.4,340,2400,2,1694,-8.4,16,1245,35.5,3.3,1017.9,1022.3,707,1018.5,1504,1020.1,9.6,8.8,,,,,,,,,,,2.8,-1.5,,,,,,,,,,,,,,
90,2017-01-04,5.6,1.7,2237,9.8,1114,,,,,,,9.3,360,55,5.4,360,15,2.2,1926,-5.2,28,1302,46.4,4.2,1020.5,1025.8,2317,1018.5,37,1022.7,9.6,8.8,,,,,,,,,,,3,-1.3,,,,,,,,,,,,,,
90,2017-01-05,2.8,1.3,59,4,1101,,,,,,15.5,5.7,340,526,3.5,340,545,1.5,1316,.7,50,143,88.1,6.6,1028.1,1032.5,2113,1025.7,1,1030.4,9.6,0,,,,,,,,,,,2.1,-1,,,,,,,,,,,,,,
90,2017-01-06,4.5,1.6,2336,9.2,1358,,,,,,0,4.9,140,1254,3.3,140,1347,1.3,1154,1.3,58,1443,80.9,6.7,1024.7,1031.7,1,1023.8,2400,1027,9.6,7.4,,,,,,,,,,,4.3,-1.5,,,,,,,,,,,,,,
90,2017-01-07,6.5,.8,136,11.3,1315,,,,,,.5,5.7,140,1235,3.9,160,1241,1.5,1253,.2,45,1206,65.5,6.3,1019.3,1023.8,1,1019.7,1413,1021.6,9.6,7.3,,,,,,,,,,,4.2,-2.3,,,,,,,,,,,,,,
93,2017-01-01,-.4,-5.5,507,5.8,1352,,,,,,,2.2,230,1354,1.5,340,2211,.4,349,-2.3,63,1352,87.1,5.2,1016.6,1032.1,1004,1025.3,2353,1028.8,9.6,3.5,1200,1.36,6.37,,,,,,8,8,-.2,-8.3,0,.3,1,1.7,4.4,7.4,11.4,16.2,18.6,.6,.8,0,-{박무}-{박무}{강도0}0300-{시정(미만)}{1km}{안개}0530-{시정(미만)}{0.5km}{안개}0550-{안개}{강도1}0600-{시정(미만)}{0.2km}{안개}0620-{시정(미만)}{0.1km}{안개}0640-{시정(이상)}{0.1km}{안개}0735-{시정(이상)}{0.2km}{안개}0745-{시정(이상)}{0.5km}{안개}0750-{시정(이상)}{1km}{박무}0840-{박무}{강도1}0900-{박무}{강도1}1200-1255.  {연무}1252-{연무}{강도0}1500-1645. {박무}1640-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도1}2400-,3.17
93,2017-01-02,2.2,-2.3,2330,8.6,1537,1.5,,,,,0,4.6,250,1647,2.8,250,1650,.6,555,.1,60,1646,86.5,6.2,1010.4,1025.3,1,1019.9,1429,1022.4,9.6,1.9,1200,.93,4.17,,,,,,7.3,7,1.3,-7,1.3,.9,1.3,1.9,4.4,7.2,11.3,16.1,18.5,.5,.8,0,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도2}0900-{박무}{강도1}1200-1420. {박무}1740-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도1}2400- {연무}1415-{연무}{강도0}1500-1745. {비}0715-0745. {비}0820-{비}{강도0}0900-0920.,
93,2017-01-03,-.3,-6.2,712,7.8,1445,,,,,,,6.9,230,1605,5,230,1611,1,824,-4.8,31,1516,74.9,4.3,1011.8,1026.4,958,1021.8,1608,1023.9,9.6,5.9,1200,1.66,8.43,,,,,,2.5,2.5,-.1,-8,.5,.8,1.5,2.1,4.4,7.1,11.2,16,18.3,1.1,1.6,,-{박무}-{박무}{강도2}0300-{시정(미만)}{1km}{안개}0450-{시정(미만)}{0.5km}{안개}0515-{시정(미만)}{0.2km}{안개}0525-{시정(미만)}{0.1km}{안개}0530-{안개}{강도2}0600-{안개}{강도2}0900-{시정(이상)}{0.1km}{안개}1030-{시정(이상)}{0.2km}{안개}1045-{시정(이상)}{0.5km}{안개}1115-{시정(이상)}{1km}{박무}1140-1155. {연무}1150 -{연무}{강도1}1200-1440.,6.83
