지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
90,1968.01.01,~,속초,속초기상대(90),38.2509,128.5647,18.06,19.6,1.7,10,0.6
93,2016.10.01,~,북춘천,춘천기상대(101),37.9475,127.7547,95.61,97.01,1.5,10,1.1
95,1988.01.01,~,철원,춘천기상대(101),38.1479,127.3042,154.81,156.3,1.8,13,1.5
98,1998.02.01,~,동두천,수도권기상청(119),37.9019,127.0607,112.5,113.6,1.7,10,1
99,2013.10.22,~,파주,수도권기상청(119),37.8859,126.7665,29.42,30.8,1.7,10,1
100,2006.11.07,~,대관령,대관령기상대(100),37.6771,128.7183,772.57,774.1,1.5,10,0.6
101,1966.01.01,~,춘천,춘천기상대(101),37.9026,127.7357,76.47,76.8,1.5,10,1.1
102,2000.11.01,~,백령도,백령도기상대(102),37.9661,124.6305,145.5,146.7,1.6,10,0.6
104,2008.07.28,~,북강릉,강릉(구 105),37.8046,128.8554,78.9,80.4,1.7,10,0.6
105,1911.10.03,~,강릉,강릉(구 105),37.7515,128.891,26.04,27.5,1.7,10,0.6
106,1992.05.01,~,동해,동해기상대(106),37.5071,129.1243,39.91,41.4,1.7,10,0.6
108,2010.08.16,~,서울,서울기상관측소(108),37.5714,126.9658,85.8,86.8,1.8,10,0.6
112,2013.10.22,~,인천,인천기상대(112),37.4777,126.624,68.2,69.7,1.6,10,1.1
114,1971.09.06,~,원주,원주기상대(114),37.3376,127.9466,148.6,150.1,1.7,14,0.6
115,1938.08.10,~,울릉도,울릉도기상대(115),37.4813,130.8986,222.4,223.7,1.6,10,1.3
119,1964.01.01,~,수원,수도권기상청(119),37.2723,126.9853,34.06,35.1,1.6,18.7,1
121,1994.12.01,~,영월,영월기상대(121),37.1813,128.4574,240.6,242.1,1.5,10,0.6
127,1972.01.01,~,충주,청주기상대(131),36.9704,127.9527,116.3,117.7,1.8,10,1
129,1968.01.01,~,서산,홍성기상대(서산 129),36.7766,126.4939,28.91,30.1,1.6,20.2,1.1
130,1971.01.12,~,울진,대구(구 143),36.9918,129.4128,50,51.2,1.8,10,0.6
131,1967.01.01,~,청주,청주기상대(131),36.6392,127.4407,58.7,60.1,1.5,10,0.5
133,1969.01.01,~,대전,대전지방기상청(133),36.372,127.3721,68.94,70.4,1.6,19.8,1.2
135,1937.01.11,~,추풍령,청주기상대(131),36.2202,127.9946,243.7,244.9,1.6,10,1.1
136,1983.01.01,~,안동,안동기상대(136),36.5729,128.7073,140.1,141.6,1.8,10,1.3
137,2002.01.01,~,상주,대구(구 143),36.4084,128.1574,96.17,97.5,1.8,10,0.6
138,1943.01.01,~,포항,포항기상대(138),36.0326,129.3796,2.28,3.3,1.6,10,1.1
140,2003.12.31,~,군산,전주기상대(146),36.0053,126.7614,23.2,24.7,1.7,15.3,0.6
143,2017.08.25,~,대구,대구(구 143),35.878,128.653,53.5,54.9,1.8,10,0.6
146,2015.07.01,~,전주,전주기상대(146),35.8408,127.119,61.4,62.9,1.6,10,1.4
152,2017.08.25,~,울산,울산기상대(152),35.5825,129.3347,83.2,83.2,1.8,10,0.6
155,2010.07.22,~,창원,창원기상대(155),35.1702,128.5729,37.6,39.1,1.7,10,1.3
156,1939.05.01,~,광주,광주지방기상청(156),35.1729,126.8916,72.38,73.9,1.7,17.5,1.2
159,1904.04.09,~,부산,부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,15,0.6
162,1968.01.01,~,통영,부산지방기상청(159),34.8455,128.4356,32.3,33.2,1.4,18,1
165,1904.04.08,~,목포,목포기상대(165),34.8169,126.3812,38,39.2,1.5,15.5,0.6
168,1942.03.01,~,여수,여수기상대(168),34.7393,127.7406,64.64,66.1,1.7,13,0.6
169,1997.01.01,~,흑산도,흑산도기상대(169),34.6872,125.451,76.49,78,1.7,15.5,0.6
170,1971.01.31,~,완도,목포기상대(165),34.3959,126.7018,35.24,36.7,1.5,10,0.5
172,2010.12.01,~,고창,전주기상대(146),35.3489,126.599,52,53.5,1.8,10,1.7
174,2011.04.01,~,순천,광주지방기상청(156),35.0204,127.3694,165,166.5,1.7,10,1.2
175,2001.11.03,~,진도(첨찰산),목포기상대(165),34.4721,126.3238,476.47,477.8,1.6,10,0.7
184,1923.05.01,~,제주,제주지방기상청(184),33.5141,126.5297,20.45,21.7,1.8,17,1.3
185,1988.01.01,~,고산,제주지방기상청(184),33.2938,126.1628,71.47,72.6,1.7,10,0
188,2008.09.04,~,성산,제주지방기상청(184),33.3868,126.8802,17.75,19.2,1.5,10,0.6
189,2010.11.09,~,서귀포,제주지방기상청(184),33.2461,126.5653,49.03,50.3,1.8,10,0.6
192,2005.11.23,~,진주,창원기상대(155),35.1638,128.04,30.21,31.6,1.8,10,1.3
201,1972.01.11,~,강화,인천기상대(112),37.7074,126.4463,47.01,48.4,1.6,10,0.6
202,1972.01.11,~,양평,수도권기상청(119),37.4886,127.4945,47.98,49.4,1.8,10,0.6
203,1972.01.11,~,이천,수도권기상청(119),37.264,127.4842,78.01,79.5,1.8,10,1
211,1971.12.01,~,인제,인제자동기상관측소(211),38.0599,128.1671,200.16,201.7,1.5,10,0.5
212,1971.09.27,~,홍천,춘천기상대(101),37.6836,127.8804,139.95,141.9,1.6,13,0.5
216,1985.08.01,~,태백,태백자동기상관측소(216),37.1703,128.9893,712.82,714.3,1.6,16,0.6
217,2010.08.06,~,정선군,,37.3813,128.6461,307.4,308.5,1.8,10,0.6
221,1972.01.11,~,제천,청주기상대(131),37.1593,128.1943,259.8,260.6,1.5,10,0.5
226,1972.01.09,~,보은,청주기상대(131),36.4876,127.7341,174.99,176.4,1.5,10,0.5
232,2016.04.01,~,천안,대전지방기상청(133),36.7624,127.2927,81.5,83,1.8,10,1.2
235,1972.01.24,~,보령,대전지방기상청(133),36.3272,126.5574,15.49,17,1.6,10,1.1
236,1972.01.09,~,부여,대전지방기상청(133),36.2724,126.9208,11.33,12.8,1.7,10,0.5
238,1972.01.09,~,금산,대전지방기상청(133),36.1056,127.4818,170.35,171.9,1.5,10,0.5
243,1972.03.01,~,부안,전주기상대(146),35.7295,126.7166,11.96,13.5,1.8,10,0.6
244,1970.06.02,~,임실,전주기상대(146),35.6123,127.2856,247.87,249.4,1.7,10,0.6
245,2016.11.01,~,정읍,전주기상대(146),35.5631,126.8392,69.84,70.97,1.65,10,1.1
247,2017.08.25,~,남원,전주기상대(146),35.4213,127.3965,132.5,91.8,1.7,10,0.7
248,1988.01.01,~,장수,전주기상대(146),35.657,127.5203,406.49,408,1.6,10,0.6
251,2010.12.01,~,고창군,전주기상대(146),35.4266,126.697,54,55.5,1.7,10,0.6
252,2007.11.26,~,영광군,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.7,13,0.6
253,2008.02.13,~,김해시,부산지방기상청(159),35.2267,128.893,53.34,54.6,1.7,10,0.5
254,2008.07.16,~,순창군,전주기상대(146),35.3714,127.1286,127,128.4,1.6,10,0.6
255,2010.07.22,~,북창원,창원기상대(155),35.2264,128.6725,48.8,50.3,1.8,10,0.7
257,2008.12.26,~,양산시,울산기상대(152),35.3072,129.02,14.85,16.1,1.8,10,0.6
258,2010.03.11,~,보성군,여수기상대(168),34.7633,127.2123,2.8,4.3,1.7,10,0.6
259,2009.11.10,~,강진군,목포기상대(165),34.6261,126.7689,12.5,13.9,1.7,10,0.6
260,1972.01.21,~,장흥,목포기상대(165),34.6888,126.9195,45.02,46.3,1.7,10,1.4
261,1971.02.03,~,해남,목포기상대(165),34.5536,126.569,13.01,14.6,1.5,10,1.4
262,2017.08.25,~,고흥,여수기상대(168),34.6182,127.2757,53.12,54.6,1.5,10,0.6
263,2010.06.21,~,의령군,창원기상대(155),35.3226,128.2881,14.18,14.9,2,10,0.6
264,2010.06.21,~,함양군,창원기상대(155),35.5114,127.7454,151.2,152.5,1.8,10,0.6
266,2017.08.25,~,광양시,광주지방기상청(156),34.9434,127.6914,86.7,82.4,1.7,10,0.6
268,2014.05.09,~,진도군,목포기상대(165),34.4731,126.2585,5.4,6.9,1.7,10,0.6
271,1988.01.01,~,봉화,대구(구 143),36.9436,128.914,324.3,325.8,1.9,10,0.6
272,1972.11.28,~,영주,안동기상대(136),36.8719,128.517,210.79,212.3,1.9,10,0.6
273,1973.01.01,~,문경,대구(구 143),36.6273,128.148,170.61,172.2,1.6,10,0.6
276,2010.09.01,~,청송군,안동기상대(136),36.4321,129.0423,206.23,207.8,1.8,10,0.5
277,1972.01.03,~,영덕,포항기상대(138),36.5333,129.4094,42.12,43.5,1.7,10,0.6
278,1973.01.01,~,의성,대구(구 143),36.3561,128.688,81.81,83.3,1.7,10,0.6
279,1973.01.01,~,구미,대구(구 143),36.13,128.32,48.88,50.3,1.7,10,0.6
281,1972.01.21,~,영천,대구(구 143),35.9774,128.9514,93.8,95.3,1.5,10,0.5
283,2010.08.06,~,경주시,포항기상대(138),35.8175,129.2009,37.64,39.1,1.7,10,0.6
284,2011.03.04,~,거창,울산기상대(152),35.6674,127.909,225.95,227.3,1.5,10,0.5
285,1973.01.01,~,합천,울산기상대(152),35.565,128.1699,32,33.2,1.5,10,0.5
288,1973.01.01,~,밀양,울산기상대(152),35.4915,128.7441,11.21,12.5,1.8,10,1.3
289,1972.03.30,~,산청,창원기상대(155),35.413,127.8791,138.07,138.8,1.5,10,0.6
294,1972.01.24,~,거제,부산지방기상청(159),34.8882,128.6045,45.4,46.7,1.7,10,0.5
295,1972.01.24,~,남해,부산지방기상청(159),34.8166,127.9264,43.7,45,1.8,10,0.8
